Adresas,Kaina,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Namo numeris:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildoma įranga:,Apsauga:,Papildomos patalpos:,Unikalus daikto numeris(RC numeris):
"Klaipėdos r. sav., Trušelių k., Sodėnų g., mūrinis sublokuotas namas",140 000 €,87 m²,"4,3 a",1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,27,,,,,,,,,,
"Klaipėdos r. sav., Lapių k., medinis kita",25 900 €,80 m²,9999 a,1,2022,Medinis,"Kita (nukeliamas, projektas, kt.)",Kita,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Smiltynė, Smiltynės g., mūrinis kita",241 794 €,"42,42 m²","2,25 a",1,1986,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,21A,,,,,,,,,,2196-5010-1022
"Klaipėdos r. sav., Šlapšilės k., Žvyro g., mūrinis sublokuotas namas",198 000 €,120 m²,7 a,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,4,Vietinis vandentiekis,,,A++,Kraštinis sklypasElektra,Šildomos grindys,Aptverta teritorija,GaražasTerasa,
"Klaipėdos r. sav., Vaitelių k., Lakštingalų 1-oji g., medinis sodo namas",15 000 €,20 m²,6 a,1,1992,Medinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10,,Šulinys,,,,Greta miškoElektra,ŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Klaipėdos r. sav., Pikteikių k., medinė sodyba",90 000 €,100 m²,80 a,,1963,Medinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Šulinys,,,,,,,,
"Klaipėdos r. sav., Ketvergių k., Vyturio g., mūrinis namas",239 000 €,120 m²,"14,63 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,25,4,Vietinis vandentiekis,Upė,300,A++,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaVaizdo kameros,GaražasTerasa,
"Klaipėdos r. sav., Mazūriškių k., Jurgaičių g., mūrinis namas",700 000 €,610 m²,44 a,2,2008,Mūrinis,Namas (gyvenamasis),"Geoterminis, kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,13,,"Artezinis, miesto vandentiekis",Tvenkinys,,,Kraštinis sklypasAsfaltuotas privažiavimasInternetas,Šildomos grindysVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacijaVaizdo kameros,BaseinasGaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Gargždų m., Gėlių g., mūrinis sodo namas",35 000 €,47 m²,"0,07 a",2,1990,Mūrinis,Sodo namas,Kietu kuru,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,,,,,,,
"Klaipėdos r. sav., Klipščių k., Tuopų g., karkasinis namas",334 000 €,140 m²,10 a,1,2022,Karkasinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,15,4,Artezinis,Tvenkinys,100,A++,ElektraInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,GaražasRūbinėTerasa,4400-5501-5366
"Klaipėdos r. sav., Slengių k., Spindulio g., mūrinis sublokuotas namas",240 000 €,"144,31 m²",6 a,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,A+,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Ūkiniai pastataiTerasa,
"Klaipėdos r. sav., Derceklių k., Bebrų g., Sodo namas",14 000 €,"75,63 m²",6 a,2,1988,Kita,Sodo namas,"Elektra, kietu kuru",Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,20,,,,,,,,,,
"Klaipėda, Senamiestis, J. Zembrickio g., karkasinis namas",399 000 €,228 m²,3 a,3,"2001 statyba, 2003 renovacija",Karkasinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,5,Miesto vandentiekis,,,,Asfaltuotas privažiavimasElektraDujos,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,GaražasPirtisTerasa,
"Klaipėdos r. sav., Derceklių k., Mūšos g., blokinis namas",115 000 €,80 m²,6 a,2,2013,Blokinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., Žemuogių g., mūrinis sodo namas",113 000 €,80 m²,6 a,1,2023,Mūrinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Alnos g., mūrinis namas",164 000 €,133 m²,10 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,Ežeras,1 700,A++,Kraštinis sklypasGreta miškoElektra,,Aptverta teritorijaŠarvuotos durys,GaražasTerasa,
"Klaipėdos r. sav., Bruzdeilyno k., Rikinės g., karkasinis namas",170 000 €,80 m²,20 a,1,2022,Karkasinis,Namas (gyvenamasis),"Elektra, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,A+,Asfaltuotas privažiavimasElektra,Šildomos grindys,,,
"Klaipėdos r. sav., Šlapšilės k., Snaigių g., mūrinis namas",147 000 €,80 m²,"8,75 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,9,,Vietinis vandentiekis,,,A+,,Rekuperacinė sistema,,Terasa,
"Klaipėdos r. sav., Klemiškės II k., mūrinis namas",192 500 €,131 m²,"6,98 a",1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Žiaukų k., Minijos g., mūrinis sodo namas",61 500 €,83 m²,"6,4 a",1,"1983 statyba, 2023 renovacija",Mūrinis,Sodo namas,"Centrinis, elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,18,2,"Šulinys, vietinis vandentiekis",Upė,,,Kraštinis sklypasGreta miškoElektraDujosInternetasKabelinė televizija,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,Rūsys,
"Klaipėdos r. sav., Slengių k., Dvaro g., blokinis namas",198 000 €,167 m²,6 a,2,2008,Blokinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,4,,,,,Kabelinė televizijaInternetasElektraDujosAsfaltuotas privažiavimas,Su baldaisPlastikiniai vamzdžiaiSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Šarvuotos durysSignalizacijaAptverta teritorija,Garažas,
"Klaipėdos r. sav., Klemiškės II k., mūrinis namas",220 000 €,152 m²,"7,05 a",1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., Vėtros g., mūrinė sodyba",45 000 €,"73,55 m²",10 a,,1997,Mūrinis,Sodyba,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Šulinys,,,,ElektraKraštinis sklypas,,Aptverta teritorija,PirtisRūsysŪkiniai pastatai,
"Klaipėdos r. sav., Vaitelių k., Linų g., blokinis sodo namas",33 000 €,"62,06 m²",12 a,1,1993,Blokinis,Sodo namas,Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,12,,Šulinys,,,,ElektraDujos,Skalbimo mašinaŠaldytuvasViryklė,,,
"Klaipėdos r. sav., Derceklių k., Šešupės g., mūrinis sodo namas",125 000 €,116 m²,"8,5 a",2,"1999 statyba, 2023 renovacija",Mūrinis,Sodo namas,"Aeroterminis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Giruliai, Girulių pl., mūrinis sublokuotas namas",249 000 €,90 m²,"1,5 a",2,2023,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Miesto vandentiekis,Jūra,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimas,Kondicionierius,,Terasa,
"Klaipėdos r. sav., Derceklių k., Žemuogių g., mūrinis sodo namas",75 000 €,80 m²,6 a,1,2023,Mūrinis,Sodo namas,Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Žaliakelio g., mūrinis namas",444 777 €,167 m²,8 a,2,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,57,,,,,,,,,,
"Klaipėda, Paupiai, Jaunystės g., mūrinis namas",216 800 €,"127,5 m²",6 a,1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Centras, Vėluvos g., mūrinis namas",360 000 €,130 m²,6 a,2,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,,,,,,,,,,4400-4633-1284
"Klaipėdos r. sav., Endriejavo mstl., Gėlių g., mūrinis namas",57 000 €,"129,17 m²",28 a,2,1963,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,15,,,,,,,,,,
"Klaipėdos r. sav., Kisinių k., mūrinis namas",123 000 €,145 m²,"6,75 a",2,2021,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,B,InternetasElektraAsfaltuotas privažiavimasGreta miško,ŽidinysSu baldaisVirtuvės komplektasViryklėIndaplovė,Šarvuotos durysVaizdo kamerosAptverta teritorija,TerasaŪkiniai pastataiRūsys,
"Klaipėda, Šauliai, Vėluvos g., mūrinis sublokuotas namas",180 000 €,90 m²,"2,59 a",2,2022,Mūrinis,Sublokuotas namas,"Dujinis, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Upė,,,Greta miškoAsfaltuotas privažiavimas,,,,
"Klaipėda, Šauliai, Arimų g., mūrinis sublokuotas namas",144 000 €,90 m²,"2,31 a",2,2023,Mūrinis,Sublokuotas namas,"Dujinis, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,,Asfaltuotas privažiavimas,,,,
"Klaipėdos r. sav., Slengių k., Juodeglynų g., mūrinis namas",198 000 €,150 m²,"7,04 a",1,2023,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,,Asfaltuotas privažiavimas,,,Garažas,
"Klaipėdos r. sav., Slengių k., Juodeglynų g., mūrinis namas",248 000 €,150 m²,"7,04 a",1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Tvenkinys,300,,Kraštinis sklypasAsfaltuotas privažiavimas,,Aptverta teritorijaVaizdo kameros,Garažas,
"Klaipėdos r. sav., Slengių k., Ramioji g., monolitinis sublokuotas namas",185 000 €,90 m²,3 a,2,2023,Monolitinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,3,Miesto vandentiekis,Tvenkinys,100,A+,Elektra,Rekuperacinė sistema,Aptverta teritorijaSignalizacija,Terasa,
"Klaipėdos r. sav., Trušelių k., Alnos g., mūrinis namas",165 000 €,116 m²,10 a,1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,4,Vietinis vandentiekis,Ežeras,1 000,A++,Elektra,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Terasa,
"Klaipėdos r. sav., Klemiškės II k., Mėtų g., mūrinis sublokuotas namas",84 000 €,"35,5 m²","1,56 a",1,2019,Mūrinis,Sublokuotas namas,"Elektra, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,,A+,,,,,
"Klaipėdos r. sav., Priekulės m., Turgaus g., mūrinis namas",56 000 €,"155,95 m²",2160 a,2,1983,Mūrinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,28,,,,,,,,,,
"Klaipėdos r. sav., Žiaukų k., Vyšnių g., mūrinis namas",235 000 €,246 m²,6 a,2,2020,Mūrinis,Namas (gyvenamasis),Skystu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,17,5,,,,B,Kabelinė televizijaInternetasElektra,ŽidinysŠildomos grindysPlastikiniai vamzdžiaiKondicionieriusSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Šarvuotos durysSignalizacijaAptverta teritorija,TerasaPirtisRūbinėRūsys,
"Klaipėdos r. sav., Normantų k., Rugiagėlių g., mūrinis namas",365 000 €,173 m²,12 a,2,2021,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,5,,,,B,Kabelinė televizijaInternetasElektra,ŽidinysŠildomos grindysSu baldaisPlastikiniai vamzdžiaiSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Šarvuotos durysSignalizacijaAptverta teritorija,TerasaRūbinėGaražas,
"Klaipėdos r. sav., Žiaukų k., Svarainių tak., mūrinis sodo namas",35 000 €,"48,51 m²",6 a,1,1988,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Žemaitės g., mūrinis namas",105 000 €,"374,38 m²","10,48 a",1,1979,Mūrinis,Namas (gyvenamasis),Dujinis,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,24,14,,,,F,,,,,
"Klaipėdos r. sav., Martinų k., Tovelės g., mūrinis namas",170 000 €,127 m²,5 a,1,2024,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,,A++,,,,,
"Klaipėdos r. sav., Trušelių k., mūrinis namas",168 500 €,80 m²,4 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A++,Asfaltuotas privažiavimasElektra,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Klaipėdos r. sav., Žiaukų k., Rūtų tak., mūrinis namas",95 000 €,154 m²,6 a,2,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kietu kuru",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,10,4,,,,A++,Elektra,Plastikiniai vamzdžiai,,Garažas,
"Klaipėdos r. sav., Purmalių k., blokinė namo dalis",167 000 €,84 m²,"2,7 a",2,2017,Blokinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,,Asfaltuotas privažiavimas,,Aptverta teritorijaSignalizacija,RūbinėTerasa,
"Klaipėdos r. sav., Lyverių k., Baičių 3-oji g., mūrinis namas",162 000 €,125 m²,7 a,2,2015,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,3,,,,B,Kabelinė televizijaInternetasElektraGreta miško,Šildomos grindysSu baldaisPlastikiniai vamzdžiaiSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Šarvuotos durysAptverta teritorija,TerasaŪkiniai pastataiGaražas,
"Klaipėdos r. sav., Šakinių k., Birbynių g., mūrinis namas",139 000 €,80 m²,11 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10,3,,,,A+,ElektraAsfaltuotas privažiavimasGreta miško,Šildomos grindysRekuperacinė sistema,Šarvuotos durysSignalizacija,,
"Klaipėdos r. sav., Gargždų m., mūrinis namas",120 000 €,180 m²,"7,2 a",2,1972,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Ketvergių k., Pušų g., blokinis namas",168 000 €,180 m²,15 a,1,2020,Blokinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,6,4,,,,A+,,Šildomos grindys,Šarvuotos durys,Terasa,
"Klaipėdos r. sav., Trušelių k., Rūko g., mūrinis namas",123 800 €,80 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,A++,,,,,
"Klaipėdos r. sav., Žiaukų k., Agrastų tak., mūrinė sodyba",33 000 €,42 m²,6 a,,1974,Mūrinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Šulinys,,,,Elektra,Su baldais,,PirtisTerasaGaražas,
"Klaipėdos r. sav., Rudaičių k., Gerdaujos g., blokinė sodyba",270 000 €,200 m²,51 a,1,2019,Blokinis,Sodyba,"Kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,"Artezinis, šulinys",Tvenkinys,15,B,Kraštinis sklypasElektraInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,BaseinasPirtisRūbinėŪkiniai pastataiTerasa,
"Klaipėda, Vingis, Gerviškių g., mūrinis sublokuotas namas",79 500 €,130 m²,4 a,2,2019,Mūrinis,Sublokuotas namas,"Elektra, kita",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,5,Miesto vandentiekis,Upė,40,,Kraštinis sklypasElektra,,Aptverta teritorijaSignalizacija,RūbinėTerasa,
"Klaipėdos r. sav., Derceklių k., Medetkų g., mūrinė sodyba",23 000 €,"64,51 m²",6 a,,1988,Mūrinis,Sodyba,Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,18,2,Šulinys,,,,,,,,
"Klaipėdos r. sav., Priekulės m., mūrinis namas",98 000 €,300 m²,28 a,2,1986,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,10,,,,,ElektraAsfaltuotas privažiavimasKraštinis sklypas,ŽidinysSu baldaisŠaldytuvasViryklė,Aptverta teritorija,PirtisŪkiniai pastataiGaražas,
"Klaipėda, Mažasis kaimelis, Kretingos g., mūrinio namo dalis",149 000 €,107 m²,3 a,3,"1960 statyba, 2010 renovacija",Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,,,,ElektraDujos,,,GaražasRūsys,
"Klaipėdos r. sav., Šlapšilės k., Rasos g., blokinis namas",155 000 €,123 m²,29 a,1,2023,Blokinis,Namas (gyvenamasis),Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,3,,,,A++,,,,,
"Klaipėdos r. sav., Svencelės k., Vėjų g., mūrinio namo dalis",850 000 €,100 m²,4 a,1,2021,Mūrinis,Namo dalis,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Klipščių k., Lazdynų g., mūrinis sublokuotas namas",235 000 €,114 m²,"4,5 a",2,2019,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,,,A+,ElektraDujosInternetas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Terasa,
"Klaipėdos r. sav., Gindulių k., mūrinis namas",330 000 €,217 m²,15 a,2,2017,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Smilgų skg., mūrinis namas",98 500 €,119 m²,"9,2 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,12,3,,,,A+,ElektraDujosKraštinis sklypas,,,Terasa,
"Klaipėdos r. sav., Lelių k., Tolminkiemio g., mūrinis namas",240 000 €,200 m²,10 a,1,2024,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Svencelės k., Nendrių g., karkasinis namas",137 500 €,45 m²,"0,6 a",2,2020,Karkasinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,2,Vietinis vandentiekis,,500,A,Greta miškoAsfaltuotas privažiavimasElektraSu pakrante,KondicionieriusŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Signalizacija,Terasa,
"Klaipėdos r. sav., Mazūriškių k., Kalvelių g., mūrinis namas",135 000 €,93 m²,4 a,1,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, elektra, saulės energija, geoterminis, kita",Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,10,3,,,,A++,,,,,
"Klaipėdos r. sav., Aukštkiemių k., Portugalų g., mūrinis sublokuotas namas",190 000 €,120 m²,"2,24 a",2,2008,Mūrinis,Sublokuotas namas,"Centrinis, elektra, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10,,,,,,,,,,
"Klaipėdos r. sav., Šnaukštų k., mūrinė sodyba",33 000 €,70 m²,12 a,2,1993,Mūrinis,Sodyba,Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
