Adresas,Kaina,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Namo numeris:,Unikalus daikto numeris(RC numeris):
"Vilnius, Didieji Gulbinai, Žvelgaičio g., mūrinis sublokuotas namas",255 000 €,126 m²,"10,4 a",,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Nebaigtas statyti,,,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,14,
"Vilniaus r. sav., Akmeniškių k., Sakalų 4-oji g., mūrinis sodo namas",29 800 €,100 m²,6 a,,2,1993,Mūrinis,Sodo namas,Kietu kuru,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, Išdagų g., mūrinis namas",349 000 €,110 m²,5 a,4,1,2021,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",Vietinis vandentiekis,Įrengtas,Ežeras,4 100,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,4400-5393-8200
"Vilnius, Visoriai, Vanaginės Sodų 2-oji g., karkasinis sodo namas",84 999 €,"78,75 m²","5,35 a",,2,2017,Karkasinis,Sodo namas,Dujinis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,41,
"Vilniaus r. sav., Didžiųjų Gulbinų k., Spindulio g., mūrinis sublokuotas namas",198 000 €,"113,39 m²",23 a,,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,Kraštinis sklypasElektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,51,
"Vilniaus r. sav., Antakalnių k., Vasaros 4-oji g., mūrinis sodo namas",36 000 €,200 m²,14 a,,1,2004,Mūrinis,Sodo namas,Kita,,Neįrengtas,,,ElektraKraštinis sklypasGreta miškoSu pakrante,PirtisGaražas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,
"Vilnius, Balsiai, Kryžiokų Sodų 9-oji g., mūrinis namas",255 000 €,184 m²,6 a,,2,2004,Mūrinis,Namas (gyvenamasis),"Kietu kuru, kita",Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Santariškės, Skersinės Sodų 4-oji g., mūrinis namas",234 000 €,72 m²,"12,34 a",3,2,"1975 statyba, 2013 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Vietinis vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,
"Vilniaus r. sav., Akmeniškių k., Skroblų 1-oji g., medinė sodyba",20 000 €,20 m²,"6,6 a",3,,2013,Medinis,Sodyba,Elektra,Vietinis vandentiekis,Įrengtas,,,ElektraKraštinis sklypasGreta miškoAsfaltuotas privažiavimas,,Su baldaisŠaldytuvasViryklė,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Didieji Gulbinai, Živinbudo g., blokinis namas",180 000 €,"93,27 m²","4,5 a",4,1,2024,Blokinis,Namas (gyvenamasis),Aeroterminis,"Artezinis, vietinis vandentiekis",Dalinė apdaila,Ežeras,100,Kraštinis sklypasGreta miškoElektra,Terasa,,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,55,
"Vilniaus r. sav., Čepurniškių k., Čepurniškių g., karkasinė sodyba",106 000 €,52 m²,20 a,2,1,2023,Karkasinis,Sodyba,Aeroterminis,Artezinis,Dalinė apdaila,Upė,50,Kraštinis sklypasGreta miškoElektra,Terasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,B,19,
"Vilnius, Pilaitė, Girdavos g., mūrinis namas",200 000 €,132 m²,"7,5 a",,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,64,
"Vilnius, Naujoji Vilnia, A. Kojelavičiaus g., medinio namo dalis",19 000 €,"23,45 m²",0 a,1,1,1940,Medinis,Namo dalis,"Elektra, kietu kuru",Miesto vandentiekis,Dalinė apdaila,Tvenkinys,300,Greta miškoAsfaltuotas privažiavimas,Ūkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,114,
"Vilnius, Pilaitė, Išdagų g., blokinis namas",85 000 €,140 m²,8 a,4,1,2020,Blokinis,Namas (gyvenamasis),"Elektra, dujinis, kita",Artezinis,Pamatai,,,,Garažas,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,1,
"Vilnius, Kalnėnai, Valonų g., mūrinis namas",295 000 €,88 m²,1 a,4,2,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Ežeras,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Trakų Vokė, Galvės 1-oji g., Sodo namas",140 000 €,"79,8 m²","6,07 a",4,1,2023,Kita,Sodo namas,Elektra,,Dalinė apdaila,,,Asfaltuotas privažiavimas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,2,
"Vilnius, Aukštieji Paneriai, Moluvėnų g., mūrinis namas",285 000 €,113 m²,5 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,Vietinis vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektra,RūbinėTerasa,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,1A,
"Vilnius, karkasinis kita",40 000 €,20 m²,0 a,,2,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,,Įrengtas,,,,,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Rudaminos k., Vilniaus g., rąstinis namas",120 000 €,80 m²,"19,5 a",3,1,1950,Rąstinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,Virtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,20,
"Vilniaus r. sav., Nemenčinėlės k., Vasaros 3-ioji g., mūrinis sodo namas",150 000 €,96 m²,6 a,3,2,"2008 statyba, 2021 renovacija",Mūrinis,Sodo namas,Aeroterminis,Kita,Įrengtas,Ežeras,100,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasPirtisRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,16,
"Vilnius, Kalnėnai, Lyvių g., mūrinis sublokuotas namas",169 000 €,"76,3 m²","0,898 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimasElektraInternetas,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Bireliai, Birelių Sodų g., medinis sodo namas",85 000 €,"106,05 m²","5,9 a",5,2,2013,Medinis,Sodo namas,"Elektra, kita",Vietinis vandentiekis,Įrengtas,,,Greta miškoElektra,Ūkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pavilnys, Pavilnio Sodų 18-oji g., mūrinis sodo namas",135 000 €,124 m²,"6,19 a",,2,2005,Mūrinis,Sodo namas,Kietu kuru,"Artezinis, vietinis vandentiekis",Dalinė apdaila,,,Asfaltuotas privažiavimasElektraDujosInternetas,Rūsys,Židinys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Bratoniškių k., monolitinis kita",30 000 €,196 m²,0 a,,1,2023,Monolitinis,"Kita (nukeliamas, projektas, kt.)",Kita,,Kita,,,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Riešės vs., Šv. Jono g., mūrinis namas",120 000 €,80 m²,60 a,,2,1956,Mūrinis,Namas (gyvenamasis),Elektra,"Šulinys, vietinis vandentiekis",Įrengtas,,,Elektra,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,29,
"Vilniaus r. sav., Riešės k., Siesarčio g., mūrinis namas",690 000 €,189 m²,10 a,5,2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Artezinis,Įrengtas,,,Greta miškoElektraDujosInternetas,PirtisŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,7,
"Vilnius, Aukštieji Paneriai, Moluvėnų g., blokinis sublokuotas namas",279 000 €,125 m²,"3,5 a",4,2,2023,Blokinis,Sublokuotas namas,Kita,Kita,Įrengtas,,,Asfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,Rekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,3,
"Vilnius, Antakalnis, Mileišiškių g., mūrinis namas",648 000 €,155 m²,8 a,,1,2017,Mūrinis,Namas (gyvenamasis),"Dujinis, saulės energija",Miesto vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasDujos,GaražasRūbinėRūsysŪkiniai pastataiTerasa,KondicionieriusSu baldaisŠildomos grindysŽidinysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Dvailinių k., Širvino g., karkasinis kita",100 000 €,76 m²,488 a,,1,2017,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Kietu kuru,,Įrengtas,Ežeras,,Greta miškoElektra,,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,30,
"Vilniaus r. sav., Baltosios Vokės k., Miško g., medinio namo dalis",49 000 €,51 m²,6 a,,1,"1905 statyba, 2000 renovacija",Medinis,Namo dalis,Kietu kuru,Miesto vandentiekis,Įrengtas,,,,PirtisŪkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,10,
"Vilniaus r. sav., Raudondvario k., Žirgų g., mūrinis namas",385 000 €,132 m²,27 a,4,2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Artezinis,Įrengtas,Ežeras,10,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasSu pakrante,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,
"Vilnius, Naujininkai, Eišiškių Sodų 4-oji g., mūrinis namas",207 000 €,100 m²,6 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Kita,,,Kraštinis sklypasGreta miškoElektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,Šildomos grindys,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Pavilnys, Mečislovo Reinio g., mūrinis sublokuotas namas",290 000 €,120 m²,5 a,,2,2017,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,DujosInternetas,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,
"Vilniaus r. sav., Sudervės k., Malūno g., mūrinis namas",55 000 €,190 m²,"34,18 a",4,2,2006,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Nebaigtas statyti,,,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,
"Vilniaus r. sav., Papiškių k., Žebronių g., mūrinis namas",550 000 €,230 m²,16 a,,2,2020,Mūrinis,Namas (gyvenamasis),"Geoterminis, saulės energija",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Šnipiškės, Kernavės g., mūrinis sublokuotas namas",620 000 €,"116,66 m²",2 a,4,2,2020,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Tvenkinys,500,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,58,
"Vilnius, Paneriai, Grendavės g., mūrinis namas",150 000 €,97 m²,"4,5 a",,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,22,
"Vilnius, Paneriai, J. Tiškevičiaus g., blokinis sublokuotas namas",265 000 €,"104,85 m²",4 a,3,1,2022,Blokinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,InternetasElektraAsfaltuotas privažiavimas,,Šildomos grindysSu baldaisPlastikiniai vamzdžiaiŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Balandiškių k., Balandiškių g., mūrinis sublokuotas namas",269 000 €,117 m²,5 a,4,1,2023,Mūrinis,Sublokuotas namas,Kita,Vietinis vandentiekis,Įrengtas,,,Kraštinis sklypasGreta miškoElektra,RūbinėTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Ąžuolinės k., Dovanų 1-oji g., mūrinis sodo namas",109 900 €,"54,07 m²","9,7 a",,2,"1990 statyba, 2022 renovacija",Mūrinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Kryžiokai, Kryžiokų Sodų 6-oji g., mūrinis sodo namas",69 500 €,"61,95 m²",6 a,2,1,1983,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Ežeras,1 000,Asfaltuotas privažiavimasElektra,GaražasRūsys,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,99,
"Vilniaus r. sav., Daržininkų k., Vėjų g., mūrinis sublokuotas namas",188 000 €,"122,21 m²","7,5 a",4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,,,Greta miškoElektra,GaražasTerasa,Šildomos grindys,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Kalvelių k., Kaštonų g., mūrinis namas",89 000 €,143 m²,12 a,4,2,2012,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,PirtisRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Zujūnų k., Buivydiškių g., mūrinis sublokuotas namas",299 000 €,"110,83 m²",5 a,4,1,2021,Mūrinis,Sublokuotas namas,Elektra,Vietinis vandentiekis,Įrengtas,Tvenkinys,,,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,4400-5544-0383
"Vilnius, Grigiškės, Sodų g., Namo dalis",195 000 €,115 m²,"5,27 a",,2,"1953 statyba, 2012 renovacija",Kita,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Upė,200,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,13,
"Vilnius, Antakalnis, Taurijos g., mūrinis sublokuotas namas",189 500 €,"123,03 m²","2,99 a",5,2,2020,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,63,4400-4602-0177
"Vilniaus r. sav., Geležių k., Smėlio g., mūrinis namas",119 999 €,139 m²,5 a,4,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Aukštieji Paneriai, Lelijų g., mūrinis sublokuotas namas",230 000 €,217 m²,6 a,,2,2018,Mūrinis,Sublokuotas namas,"Elektra, kietu kuru",Artezinis,Dalinė apdaila,Upė,1 000,Kraštinis sklypasElektra,GaražasPirtisTerasa,Šildomos grindys,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,B,1,
"Vilnius, Senamiestis, Baltasis skg., mūrinis sublokuotas namas",647 978 €,93 m²,"1,9 a",4,2,2022,Mūrinis,Sublokuotas namas,Geoterminis,Miesto vandentiekis,Dalinė apdaila,,,Kraštinis sklypasGreta miškoInternetasKabelinė televizijaAsfaltuotas privažiavimas,PirtisRūbinė,,SignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Antakalnis, Rokantiškių g., mūrinis sublokuotas namas",550 000 €,150 m²,"4,5 a",,2,2024,Mūrinis,Sublokuotas namas,"Saulės energija, kita",,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,8B,
"Vilniaus r. sav., Gineitiškių k., Gulbių g., mūrinis sublokuotas namas",235 000 €,149 m²,"7,5 a",5,1,2024,Mūrinis,Sublokuotas namas,"Aeroterminis, dujinis, kita",Miesto vandentiekis,Dalinė apdaila,Ežeras,30,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,BaseinasPirtisRūbinėTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Verkiai, Sakališkių g., mūrinis sodo namas",80 000 €,"143,78 m²","6,15 a",,1,1991,Mūrinis,Sodo namas,Kietu kuru,,Kita,,,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Papiškių k., Žebronių g., mūrinis namas",295 000 €,"167,31 m²","10,5 a",4,1,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kita",Artezinis,Dalinė apdaila,,,Kraštinis sklypasElektra,GaražasTerasa,Šildomos grindysRekuperacinė sistema,SignalizacijaŠarvuotos durysVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,31,
"Vilniaus r. sav., Bajorų k., Mėtų g., mūrinis namas",485 000 €,197 m²,10 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,,,Greta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūbinėTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Gineitiškės, Augustų g., mūrinis namas",749 000 €,356 m²,10 a,5,2,2015,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,Ežeras,,Asfaltuotas privažiavimasElektraInternetas,GaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,33,
"Vilniaus r. sav., Bendorių k., Žemaitukų 2-oji al., mūrinis namas",264 990 €,120 m²,5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Didžiasalio k., Pakupečių g., mūrinis sublokuotas namas",179 000 €,140 m²,"7,5 a",4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Bendorių k., Žirgyno g., mūrinis namas",264 990 €,120 m²,5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Kairėnų k., Mokyklos g., mūrinis namas",279 990 €,148 m²,"5,04 a",4,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSu baldais,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Bendorių k., Žemaitukų 2-oji al., mūrinis namas",194 990 €,120 m²,5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasTerasa,Kondicionierius,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Antežerių k., Taikos g., mūrinis namas",239 000 €,126 m²,15 a,,1,2024,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Miesto vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimasElektraDujos,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,
"Vilnius, Balsiai, Žalumos g., mūrinis sublokuotas namas",265 000 €,"95,69 m²","3,04 a",4,2,2019,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,
