Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžio r. sav., Puodžiūnų k., Puodžiūnų g., rąstinis namas",15 500 €,24,89 m²,17 a,,2,1981,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Neįrengtas,ElektraAsfaltuotas privažiavimas,Ūkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Vingio g., rąstinis namas",129 900 €,6,100 m²,"5,7 a",5,2,"1992 statyba, 2015 renovacija",Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Šulinys,Įrengtas,ElektraDujos,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Rūtakiemio k., Paliaudės g., mūrinis namas",45 000 €,40,130 m²,25 a,,2,"1968 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, kietu kuru",Šulinys,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,RūsysŪkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,200,
"Panevėžys, Stetiškiai, Versmės g., mūrinis namas",230 000 €,57A,90 m²,7 a,,1,2020,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžio r. sav., Pažagienių k., mūrinis namas",140 000 €,,"79,62 m²","4,5 a",,1,2023,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, J. Jablonskio g., rąstinis namas",150 000 €,,201 m²,"6,31 a",6,2,2004,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,Rūsys,Su baldaisSkalbimo mašinaŠaldytuvasVirtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujikų k., Akmenų g., mūrinis sodo namas",22 000 €,,40 m²,5 a,3,2,1986,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Elektra,Rūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,50,
"Panevėžio r. sav., Gasparų k., Beržų g., karkasinis sodo namas",11 000 €,6,38 m²,6 a,,1,1983,Karkasinis,Sodo namas,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Krekenavos mstl., Vytauto g., medinis namas",11 900 €,,87 m²,26 a,3,1,1955,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., Vyšnių tak., mūrinis sodo namas",14 000 €,,"63,47 m²","4,78 a",2,2,1973,Mūrinis,Sodo namas,Kita,Šulinys,Įrengtas,Elektra,,Su baldaisŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Vyčių k., Kęstučio g., mūrinis namas",206 000 €,9,154 m²,10 a,4,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,InternetasElektraAsfaltuotas privažiavimasKraštinis sklypasGreta miško,TerasaRūbinėGaražas,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžio r. sav., Kaubariškio k., rąstinė sodyba",115 000 €,,50 m²,54 a,2,,2015,Rąstinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,PirtisTerasaGaražasRūsys,ŽidinysPlastikiniai vamzdžiaiŠildomos grindys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., Svarainių g., mūrinis sodo namas",7 990 €,,"21,65 m²",6 a,,1,1971,Mūrinis,Sodo namas,Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., mūrinis sodo namas",19 000 €,,30 m²,6 a,,1,1989,Mūrinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Trumpės g., mūrinis sodo namas",27 000 €,,"27,6 m²",7 a,2,1,1983,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, S. Mačiulio g., mūrinis namas",60 000 €,,150 m²,3 a,4,2,1980,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,Ūkiniai pastataiGaražasRūsys,Skalbimo mašinaŠaldytuvasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,,
"Panevėžio r. sav., Juodlieknio k., Daržininkų g., mūrinis sodo namas",29 900 €,37,"57,3 m²",6 a,,2,1989,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Ąžuolų al., karkasinis sodo namas",16 000 €,,36 m²,6 a,,1,2023,Karkasinis,Sodo namas,Kietu kuru,Kita,Dalinė apdaila,Greta miškoElektra,Terasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžys, Pramonės, Pušaloto g., medinis namas",45 000 €,167,"65,33 m²","9,04 a",,1,1940,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Teatro g., karkasinė namo dalis",65 000 €,26,"60,15 m²","4,86 a",3,2,1937,Karkasinis,Namo dalis,"Dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Kraštinis sklypasDujos,GaražasPirtisŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,500,
"Panevėžio r. sav., Alančių k., Alančių g., mūrinis namas",30 000 €,7,80 m²,58 a,,1,1976,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Aušros al., karkasinė sodyba",18 900 €,1,40 m²,6 a,2,,1988,Karkasinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Upelio al., medinė sodyba",7 900 €,74,9 m²,"6,7 a",1,,1980,Medinis,Sodyba,Kita,Šulinys,Kita,Kraštinis sklypasGreta miško,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Memenčių g., mūrinis namas",115 000 €,6,103 m²,"9,36 a",4,1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, saulės energija",Miesto vandentiekis,Dalinė apdaila,ElektraDujos,Rūbinė,Šildomos grindysPlastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,Tvenkinys,1 000,
"Panevėžio r. sav., Vadoklių mstl., Sporto g., rąstinis namas",12 000 €,2,"85,94 m²","0,15 a",3,1,1966,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Janališkių k., Drebulių al., karkasinis sodo namas",10 500 €,6,20 m²,6 a,1,1,2021,Karkasinis,Sodo namas,Kita,,Įrengtas,Elektra,Terasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,300,
"Panevėžys, Žemaičiai, Velžio kel., blokinis namas",190 000 €,,158 m²,"4,2 a",4,2,2013,Blokinis,Namas (gyvenamasis),"Elektra, kietu kuru, skystu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,C,,,
"Panevėžys, Centras, Palangos g., medinis namas",119 000 €,,116 m²,6 a,,2,1971,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,GaražasRūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Saulėtekio al., mūrinė sodyba",23 000 €,,31 m²,6 a,2,,1984,Mūrinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Aukštaičių g., medinis sodo namas",8 900 €,10,"7,94 m²","5,21 a",1,1,1984,Medinis,Sodo namas,Kita,Šulinys,Įrengtas,ElektraDujos,,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,300,
"Panevėžio r. sav., Vaivadų k., Marijos Giedraitienės g., mūrinis namas",310 000 €,3,"245,6 m²",15 a,,2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tarnagalos k., mūrinis namas",245 000 €,,160 m²,84 a,6,2,2005,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizijaSu pakrante,GaražasPirtisŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,50,
"Panevėžio r. sav., Geležių mstl., Šviesos g., blokinis namas",40 000 €,10,130 m²,25 a,4,2,1986,Blokinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimasKraštinis sklypas,Ūkiniai pastataiRūsys,Su baldaisSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Daukniškių k., Akacijų al., mūrinis sodo namas",16 500 €,,64 m²,6 a,,2,2017,Mūrinis,Sodo namas,Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,Elektra,RūsysTerasa,Su baldaisVirtuvės komplektas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,300,4400-4612-2478
"Panevėžio r. sav., Kaubariškio k., Varpo al., rąstinis sodo namas",23 500 €,12,"36,23 m²","4,77 a",,1,1985,Rąstinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Energetikų g., rąstinis sodo namas",15 500 €,55,"26,96 m²","8,9 a",1,1,1985,Rąstinis,Sodo namas,"Elektra, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,1 500,
"Panevėžio r. sav., Bernatonių k., Voverės al., rąstinis sodo namas",20 999 €,,30 m²,6 a,,1,1985,Rąstinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Sodo namas",20 000 €,,40 m²,6 a,,2,1990,Kita,Sodo namas,Elektra,Vietinis vandentiekis,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Vaivadų k., Strazdų g., mūrinis namas",153 000 €,17A,150 m²,15 a,3,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, centrinis kolektorinis, geoterminis, aeroterminis, saulės energija, kita",Artezinis,Dalinė apdaila,Kraštinis sklypasGreta miškoElektra,Garažas,Šildomos grindys,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžys, Centras, Kauno g., rąstinis namas",37 000 €,29,100 m²,4 a,,1,1939,Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Neįrengtas,Asfaltuotas privažiavimasElektraDujos,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Astros g., Sodo namas",12 500 €,,31 m²,6 a,,1,1983,Kita,Sodo namas,Kietu kuru,,Įrengtas,,,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Energetikų g., rąstinis sodo namas",15 500 €,55,"26,96 m²","8,9 a",1,1,1985,Rąstinis,Sodo namas,Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimas,,ŽidinysSu baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Žalgirio g., mūrinio namo dalis",25 900 €,55,"46,08 m²","1,4 a",3,2,1974,Mūrinis,Namo dalis,Kietu kuru,,Įrengtas,Asfaltuotas privažiavimasElektraDujos,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Ūtos g., karkasinis sodo namas",110 000 €,119,"54,6 m²","6,03 a",3,2,2012,Karkasinis,Sodo namas,"Elektra, kietu kuru",Šulinys,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,PirtisŪkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,10,
"Panevėžio r. sav., Velželio k., Aušrinės g., mūrinis namas",55 000 €,27,"271,08 m²","17,82 a",,2,1991,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Nebaigtas statyti,Asfaltuotas privažiavimasElektraDujos,GaražasRūsys,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Bijūnų g., karkasinis sodo namas",9 500 €,3,36 m²,6 a,2,2,1995,Karkasinis,Sodo namas,Kietu kuru,,Įrengtas,,,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Daukniškių k., blokinis sodo namas",27 000 €,,47 m²,6 a,2,2,1991,Blokinis,Sodo namas,Kietu kuru,"Vietinis vandentiekis, kita",Neįrengtas,Kraštinis sklypasGreta miškoElektra,Ūkiniai pastatai,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,B,Ežeras,500,
"Panevėžio r. sav., Bernatonių k., Tuopų al., karkasinė sodyba",18 000 €,1,"44,6 m²",7 a,2,,1989,Karkasinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,Greta miško,PirtisRūsysŪkiniai pastatai,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Gluosnių g., mūrinis namas",120 000 €,18,100 m²,3 a,3,1,1979,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžio r. sav., Nibragalio k., medinė sodyba",17 000 €,,88 m²,88 a,2,,1956,Medinis,Sodyba,Kietu kuru,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Lokio al., mūrinis sodo namas",18 000 €,21,70 m²,6 a,3,2,1985,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Elektra,Rūsys,Su baldaisŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,1 000,
"Panevėžio r. sav., Daukniškių k., Putinų g., karkasinis sodo namas",26 900 €,18,72 m²,6 a,,2,2000,Karkasinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,Terasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Upėtakių g., mūrinis namas",226 000 €,,147 m²,6 a,,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujos,Garažas,Šildomos grindys,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, mūrinio namo dalis",87 000 €,,120 m²,3 a,,2,1992,Mūrinis,Namo dalis,"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Saulės al., mūrinis namas",150 000 €,,247 m²,6 a,4,2,2010,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasDujos,GaražasPirtisRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Čiobrelių g., mūrinis sodo namas",38 000 €,15,39 m²,8 a,,1,1993,Mūrinis,Sodo namas,Kietu kuru,Šulinys,Neįrengtas,Elektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Margirio g., mūrinis namas",185 000 €,21B,132 m²,9 a,4,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Miesto vandentiekis,Dalinė apdaila,ElektraDujos,GaražasTerasa,Šildomos grindys,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžio r. sav., Kaubariškio k., Beržyno al., rąstinis sodo namas",55 000 €,9A,91 m²,"9,5 a",,2,2002,Rąstinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Kirkūnų g., mūrinis namas",77 000 €,29,"184,87 m²",11 a,,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",,Nebaigtas statyti,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžys, Skaistakalnis, Šermukšnių g., mūrinis namas",121 500 €,,96 m²,6 a,,2,1965,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraInternetas,Ūkiniai pastataiTerasa,Virtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,350,
"Panevėžio r. sav., Maksvytiškių k., Maksvytiškių g., mūrinis sublokuotas namas",90 000 €,5,"105,3 m²",10 a,4,1,2023,Mūrinis,Sublokuotas namas,"Elektra, saulės energija",Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,GaražasTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,Upė,100,
"Panevėžio r. sav., Bernatonių k., medinė sodyba",21 000 €,,35 m²,6 a,3,,1995,Medinis,Sodyba,Kita,Šulinys,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,Rūsys,Su baldaisŠaldytuvasViryklė,Aptverta teritorijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Plukių k., Pienių g., medinis sodo namas",10 900 €,26,"9,47 m²",6 a,,1,1974,Medinis,Sodo namas,Kita,Šulinys,Įrengtas,Asfaltuotas privažiavimas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Senamiesčio g., rąstinis namas",97 000 €,27,"142,45 m²","4,94 a",5,2,2001,Rąstinis,Namas (gyvenamasis),Centrinis,,Įrengtas,InternetasElektraAsfaltuotas privažiavimas,PirtisŪkiniai pastataiGaražasRūsys,Su baldaisPlastikiniai vamzdžiaiSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,F,,,
"Panevėžio r. sav., Plukių k., Rožių al., mūrinis sodo namas",38 000 €,24,"90,82 m²","5,1 a",2,2,2023,Mūrinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,ElektraAsfaltuotas privažiavimas,TerasaRūbinėŪkiniai pastatai,ŽidinysSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,,
"Panevėžio r. sav., Karsakiškio k., medinis sodo namas",35 000 €,,25 m²,"8,42 a",,1,1984,Medinis,Sodo namas,Kita,,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraSu pakrante,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Barklainių I k., Malūno g., rąstinė sodyba",12 000 €,8,50 m²,25 a,3,1,1920,Rąstinis,Sodyba,Kietu kuru,Šulinys,Kita,Asfaltuotas privažiavimas,Ūkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Saulėtekio g., mūrinis namas",143 000 €,,258 m²,"6,05 a",5,2,1992,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Kupolių g., mūrinis namas",57 000 €,19,137 m²,"8,5 a",3,1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, aeroterminis, dujinis, saulės energija",Miesto vandentiekis,Nebaigtas statyti,ElektraDujos,Garažas,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžio r. sav., Pagiegalos k., Klevų g., Sodyba",20 000 €,2,1180 m²,"11,8 a",2,,2012,Kita,Sodyba,Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Paįstrio k., Užtvankos g., mūrinis namas",85 000 €,,124 m²,15 a,,2,1977,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasSu pakrante,GaražasRūsysŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,20,
"Panevėžys, Rožės, Jazminų g., mūrinio namo dalis",85 000 €,24,201 m²,0 a,,1,"1980 statyba, 1999 renovacija",Mūrinis,Namo dalis,"Centrinis, dujinis",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Viržių g., blokinis namas",80 000 €,41,150 m²,6 a,,2,2024,Blokinis,Namas (gyvenamasis),"Elektra, dujinis",,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
